"comments","classe"
"este lixo ...",0
"Mais um lixo",0
"Essa nao tem vergonha na cara!!",0
"Essa mulher é doente.pilantra!",0
"Besta quadrada.",0
"Hipocritas",0
"Hipocrita!!",0
"Mande essa Bachelet plantar batata no asfalto.  Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.",0
"Cara de pau.",0
"Porque é  uma bandida",0
"Mentem e roubam..... Não vai mais mamar.....",0
"Tudo igual. Só pensam no próprio rabo",0
"Cretina!",0
"Guarde sua pena ...nos da ânsia de vômito",0
"Quem não têm caráter é contra o presidente Bolsonaro",0
"O problema dela  é  que  a tetinha secou",0
"Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.",0
"Bandida😡😡",0
"É uma cara de pau mesmo... 😡",0
"Nojo dessa pilantra",0
"Olha ai a hipocrisia dessa mulher",0
"Bando de canalhas",0
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",0
"Vieja idiota.",0
"Outra bandida ...",0
"Cretina!!!",0
"Ridícula nojenta",0
"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",0
"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",0
"E eu tenho pena de vc sua ridícula.",0
"Óleo de peroba pra lustrar a cara de pau!",0
"Aí a ganância falou mais alto... corrupta!",0
"Descarada!",0
"@onubrasil corruptos.",0
"Nojo 🙈🙉🙊sempre assim",0
"Devolve o dinheiro roubado via OAS...",0
"Débil. ..",0
"Hipocrita!",0
"Hipócrita!!!! 🤮",0
"Realmente, uma verdadeira hipócrita!",0
"Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎",0
"Ridícula vai cuidar da sua vida",0
"Deve ter pena dela quando descobrir os podre dela essa imoral",0
"Velha cretina",0
"Hipócrita🤬",0
"Pena eu não tenho de vc corrupta, qdo for presa 👊",0
"CANALHA 🤮",0
"FDP",0
"E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.",0
"🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas",0
"Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪",0
"Cretina",0
"Cara de@pau😡😡😡😡",0
"Quem é essa ? Vai te catar...",0
"Lixo ideológico",0
"Hipócrita!",0
"Esses camaradas são tinhosos dimais, quando o venha a nós acaba, começam a criticar, falar mal do vosso reino! Pessoas que agem assim são imbecis para não dizer vampiros!",0
"Pois é deveria ter pena da própria ignorância.",0
"Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂",0
"Porque é corrupta é conivente com o desgoverno anterior",0
"A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários",0
"Vá ter pena da puta que a pariu, corrupta",0
"Que nojo!🤮🤮🤮🤮🤮",0
"Piada esse tipo de gente !",0
"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",0
"Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!",0
"Mentirosa enganadora 👎👎👎",0
"Aff ranso desses corruptos",0
"Senhora Michele Bachelet!",0
"Velha cretina, vai cuidar do seu país..ah não te querem lá.  Então vai pro inferno coisa ruim.",0
"Toma distraída!!!",0
"Demagoga se locupletando com dinheiro de propina",0
"Porque é bandida igualmente a o  presidiário cachaceiro do Lula",0
"LADRA",0
"Fdp",0
"Cai fora o Brasil não precisa de você",0
"tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é  honesto e quem no presta!",0
"Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.",0
"Bandidona e pilantrona o leitinho acabou",0
"Hipooooooócrita essa senhoura...",0
"Exato! Ela é um escrota!",0
"Hipócrita",0
"Outra pilantra!",0
"Pilantra",0
"Hipócrita!",0
"Farinha do mesmo saco nojo desses políticos",0
"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",0
"Devolva o dinheiro",0
"Terrorista FDP",0
"Hipócrita 💩💩💩💩",0
"Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿",0
"Pena dessa senhorinha...",0
"LADRA",0
"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",0
"Pois é,  nojenta!!",0
"Enfia a sua pena no seu rabo, velha nojenta",0
"OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!",0
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",0
"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR,  esquece o BRASIL e vá cuidar dos seus problemas",0
"JA DIZIA O SANTO JOÃO BATISTA:HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem",0
"Pilantra",0
"😅😅😅😅😅😅😅😅😅😅😅😅 bandida",0
"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",0
"OH  BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS",0
"Lixo",0
"Canalha",0
"ACABOU A MAMATAAA!!!✨🇧🇷✨",0
"SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...",0
"Sim porque??? É muita hipocrisia. E a propina...",0
"Ta com pena? Devolve a propina",0
"POIS É  DEVERIA DEVOLVER O DINHEIRO  AOS COFRES PÚBLICOS  DO Brasil.",0
"Outra canalha.",0
"Porque ela não era “paga” pra sentir pena e sim para contribuir e usufruir dos roubos.",0
"essa imbecil falando e o cachorro cagando e a mesma coisa",0
"Pois ela é uma sem vergonha😩",0
"Que cara CÍNICA",0
"Cretina.",0
"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educação esse tipo de gente classifico como genocida pois acabam com nações inteiras por um ideal onde eles ficam ricos dominam as pessoas como escravos ... diria que até pior que terroristas pois terroristas matam em nome da “religião” não que algo justifique mas chega ser pior ... corruptos safados ....😡😡😡😡 que Deus nos livre desta cambada que articula em tempo integral a nova destruição ...🙏🇧🇷🇧🇷🇧🇷🇧🇷",0
"Propineira com pena pq a mamata acabou.... 🤮🤮",0
"Ela tem pena agora pq não tá recebendo mais propinas. Bandida.",0
"E uma coitada , não tem credibilidade aqui nao",0
"Que lixo, heim????",0
"Mande essa nojenta pra Cuba.",0
"Parece que para atuar na #ONU precisa ter postura e comportamento #desprezível #hipócrita #falsidade.",0
