comments,classe
Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. http://t.co/46NuLkm09x,1
El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa,1
@MaivePerez Llora te lo.mereces por zorra,1
@mspn95 @SC_ESPN Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo,1
@enkarny282 @irenejunquera No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.,1
@elultimopeter Tu eres demasiado perra 😂,1
@ValentinaaCruz Puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre.,1
"@PatonGuzman eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, se le aborrece, por escorias como mico sorete mal parido",1
@AgusMariano17 @astrobrix @saintlean asi le digo a tu mami callate perra,1
"Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.",1
"@AngeAlvarez7 Callate perra, re despierta estoy",1
En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano. Acá en margarita se ve mucho esa vaina https://t.co/gHdYmtl68V,1
Querida tú eres una puta sin llenadero.. que dicen tus hijos de tu nuevo amor? Sigues siendo su ejemplo 🤣🤣🤣,1
@DrodriguezVen tu eres la perra mas perra de las perras,1
@MirandaLanda22 Ya callate pinche puta y celebra la navidad hija de perra,1
A ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes no de lo hagan pagar dentro de un año)... https://t.co/CehRdJsSdU,1
@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!,1
@chechechacon Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta,1
"Jajajajajajjajajajajajajjaa ay Dios la mujer es maldad me voy de aqui, que puta pavera.",1
@agaxiolag cállate puta! Aprende a hablar y blanqueate el hocico. #ExatlonMx,1
Calmados no se amontonen!!!pinches nacos frijoleros pikense el culo 🖕🏽😑 https://t.co/tn7lEhUzsE,1
"La moronegrada está hundiendo el país a base d ser cobradores netos d pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo q importa es 1 negro q dice ser ingeniero  #NosTomanPorImbéciles  https://t.co/2pR0YPtNCA",1
-¿Porque la esatua de la libertad es mujer? -Porque se nescesitaba una cabeza hueca para hacer un mirador,1
Comemela XDDD y la cara también!! 🤣🤣🤣🤣🤣 — No nos pasemos 👀 https://t.co/t3o5yHY0zb,1
@pauliboggino @soyunaforra cállate perra de mierda culona,1
@_ArianaBelen Jajajaja vos cállate puta.,1
"Eso, incompatible con ser moromierda, o musulmono. https://t.co/AMyOfhQVQy",1
@ash_london CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO . TE METES CON BARDERAS,1
"¿para que se inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad.",1
"Hay mujers inteligentes, si. Son hombres que se han operado de cambio de sexo. Al revés no.",1
"y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no? 👀 (no todos) https://t.co/Ew6hpH5wIa",1
Los inmigrantes muestran su cara más violenta con peleas en plena calle — El Pueblo de Ceuta https://t.co/Xd26df3yhL,1
"@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida",1
"Se lo ha ganado a pulso, y ha sido muy comedido. Ese musulmono o se lo piensa la próxima vez. O le dan otra mayor. https://t.co/1NTIxMR11P",1
"@vibrium_ JAJAJAJAJAJA El multitasking es lo de hoy: Perra en Instagram, emo en Twitter, ridículas por Facebook y divas en WhatsApp, todo a la misma vez y sin mezclar historias.",1
@20m Lastima.... callate zorra!!!!!!!😠😠😠💩💩💩💩💩💩,1
Antonio Adán: Mi novia es sevillista y es una puta mas | Sevilla 3 Real ... https://t.co/Pk1TYziPU8 vía @YouTube,1
"@anto07ro Siempre te hago el aguante callate, mña si perra",1
"Buenos dias, a trabajar en la fabrica para pagar a los refugiados y demas... gracias Sánchez por ser tan hijo de puta.",1
-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!,1
@mariajoarga @Paugalindo Ay cállate perra.,1
"Eso demuestra que no son “refugiados” de países en guerra, sino económicos, lo q es humano, hasta q te das cuenta q si empiezan con mentiras, seguramente lo q busca es invadir no convivir! https://t.co/U8WxI3hJGU",1
"""Llevamos ya 3 casos asilados de violencia de inmigrantes en la zona de Barcelona en una semana. ¿A partir de cuantos casos, dejan de considerarse """"aislados""""?""",1
@YolandaNeed Callate perra yo hago lo que quiero,1
"@pablocasado_ y @Albert_Rivera tienen razón, los inmigrantes vienen a imponernos sus costumbres https://t.co/xstEpiBjQl",1
